,score
525,16.7
526,17.25
527,17.25
528,16.25
529,16.25
530,15.8
531,15.8
532,14.8
533,13.95
534,11.5
535,10.5
536,10.5
537,12.5
538,9.7
539,6.0
540,6.0
541,7.0
542,6.0
543,7.0
544,11.9
545,16.9
546,28.25
547,40.75
548,56.5
549,56.5
550,56.5
551,56.5
552,58.7
553,58.7
554,58.7
555,59.7
556,60.15
557,60.35
558,65.6
559,67.15
560,70.7
561,73.35
562,74.2
563,80.05
564,86.0
565,89.6
566,83.8
567,76.8
568,63.6
569,80.85
570,91.0
571,106.8
572,114.4
573,118.25
574,119.1
575,125.2
576,127.15
577,125.95
578,120.7
579,120.15
580,119.6
581,120.05
582,131.7
583,135.05
584,132.8
585,136.7
586,148.1
587,152.2
588,157.05
589,142.0
590,143.4
591,134.95
592,137.65
593,146.3
594,154.1
595,153.9
596,159.95
597,172.15
598,184.65
599,191.75
600,197.45
601,199.8
602,202.05
603,202.95
604,206.85
605,206.85
606,202.5
607,205.4
608,204.8
609,220.4
610,220.9
611,226.05
612,221.8
613,218.2
614,220.25
615,217.3
616,213.85
617,209.55
618,207.55
619,206.75
620,205.95
621,211.0
622,206.8
623,201.3
624,198.3
625,190.9
626,189.8
627,184.7
628,185.65
629,182.55
630,183.0
631,185.85
632,195.35
633,198.95
634,204.4
635,211.65
636,210.65
637,204.2
638,198.0
639,190.7
640,187.0
641,176.5
642,173.55
643,177.75
644,176.25
645,179.15
646,178.1
647,179.8
648,179.3
649,171.9
650,168.2
651,164.5
652,157.0
653,153.5
654,141.35
655,138.6
656,143.05
657,146.6
658,159.25
659,164.6
660,177.5
661,178.35
662,173.75
663,171.95
664,172.8
665,171.4
666,163.65
667,158.1
668,156.55
669,155.65
670,160.2
671,154.45
672,149.05
673,147.25
674,147.75
675,151.8
676,149.05
677,157.55
678,153.1
679,162.35
680,160.0
681,162.0
682,171.5
683,177.15
684,179.75
685,187.4
686,192.4
687,198.4
688,205.2
689,213.4
690,216.15
691,221.5
692,219.35
693,221.65
694,220.05
695,212.3
696,214.0
697,212.0
698,209.05
699,200.4
700,190.55
701,193.1
702,183.45
703,169.8
704,158.35
705,145.95
706,139.1
707,130.4
708,121.9
709,111.65
710,103.9
711,100.15
712,100.5
